timestamp_sent,as_of_date,market,commodity,alert_type,basis,phone_masked,message,status,demo_mode
2026-09-11T12:49:59,2024-12-01,Kisumu,Beans,ANOMALY,anomaly,+254743***266,KFPEWS WARNING: An unusual Beans price movement has been detected in Kisumu. Current price: KES 83/kg. The movement exceeds the market's historical volatility threshold. Please verify local market conditions.,Sent (Demo Mode) - not actually delivered,True
2026-09-11T15:04:29,2024-12-01,Eldoret,Maize,DEMO,-,+254712***678,KFPEWS DEMO: This is a sample alert for Maize in Eldoret. Current price: KES 104/kg. No significant movement is currently detected for this pair.,Sent (Demo Mode) - not actually delivered,True
