market,commodity,model_track,n_test,naive_mae,naive_mape,model_mae,model_mape
Kakuma 4,Rice,prophet,5,10.831999999999999,8.783549768131978,40.90902336745077,35.30094065749319
Kakuma 4,Salt,prophet,6,5.366666666666667,6.367003367003367,15.750054917461398,19.72310592261586
Kakuma 4,Sugar,prophet,4,3.219999999999999,1.9921147286258336,1414.4960185633313,875.8892274943289
Kakuma 4,Wheat flour,prophet,6,2.315,2.595274264390212,24.10884882898715,26.87813614801275
Kalobeyei (Village 1),Beans (dry),prophet,6,15.291666666666666,13.666469411431265,57.81782113564412,52.17298531887643
Kalobeyei (Village 1),Maize,prophet,6,7.1433333333333335,12.868630187483735,10.580624894705146,19.76028230141742
Kalobeyei (Village 1),Maize flour,prophet,6,3.8900000000000006,5.153004797180291,22.473247038180343,29.26186196427254
Kalobeyei (Village 1),Potatoes (Irish),prophet,4,12.5,14.84135712449032,42.76603855547336,52.79763668846789
Kalobeyei (Village 1),Rice,prophet,6,6.350000000000001,5.612976295441149,10.318077851333946,9.10440373426889
Kalobeyei (Village 1),Salt,prophet,6,9.941666666666668,11.866666666666665,45.531326161178896,57.73692503526887
Kalobeyei (Village 1),Sugar,prophet,6,4.321666666666663,2.81425724265008,33.34855745371213,21.854283608415216
Kalobeyei (Village 1),Wheat flour,prophet,6,1.6566666666666663,1.7740268610043142,18.652761874000635,19.819208564101473
Kalobeyei (Village 2),Beans (dry),prophet,5,16.0,14.871794871794872,91.42539029841491,84.95483135284522
Kalobeyei (Village 2),Maize,prophet,5,3.997999999999999,7.876287982284605,41.504636456669274,78.68761146889327
Kalobeyei (Village 2),Maize flour,prophet,5,1.9979999999999989,2.569815768879612,52.81263949679469,67.92708352282756
Kalobeyei (Village 2),Rice,prophet,5,13.334000000000007,10.911724893372165,41.13870663031754,35.04231010473061
Kalobeyei (Village 2),Salt,prophet,5,11.330000000000002,15.325988493083612,16.527692372965344,22.235630513223096
Kalobeyei (Village 2),Sugar,prophet,5,3.932000000000005,2.621876279566722,92.69471066266235,61.903956669571755
Kalobeyei (Village 2),Wheat flour,prophet,5,3.2659999999999996,3.788208033036357,51.619732516772025,59.639522281724155
Kalobeyei (Village 3),Beans (dry),prophet,5,4.0,3.7026971185427024,72.06661205273578,66.34726804776916
Kalobeyei (Village 3),Maize flour,prophet,5,1.3319999999999994,1.6317319692787706,40.35338927669811,49.75342114817355
Kalobeyei (Village 3),Rice,prophet,5,11.0,9.1601624694087,34.88037838572095,31.26588779896688
Kalobeyei (Village 3),Salt,prophet,5,5.0,6.8181818181818175,23.254478755984728,31.581962623240923
Kalobeyei (Village 3),Sugar,prophet,5,3.0,1.9508241631776848,61.991029753350496,40.55317645103563
Kalobeyei (Village 3),Wheat flour,prophet,5,3.4659999999999997,3.7618141910141776,32.70213720849004,36.93252375530755
Kilifi,Beans (dry),prophet,7,2.3714285714285706,2.2318906438310466,7.177811552345817,6.789794925682294
Kilifi,Maize (white),prophet,7,2.2857142857142825,5.6791657401040165,3.9429304946286874,9.477646073516663
Kitui,Beans (dry),prophet,18,4.3888888888888875,4.9522245182800715,7.116398131815881,7.979148724536945
Kitui,Maize (white),prophet,18,2.011111111111111,5.658255993080123,6.760886823237448,19.060508104964242
Lodwar (Turkana),Maize (white),prophet,11,2.5454545454545454,3.8287383122949956,31.96488033147657,48.30010054559033
Mandera,Maize (white),prophet,15,2.0399999999999996,2.5034220580704907,18.856439536612932,23.163877317093753
Marigat (Baringo),Beans (dry),prophet,7,6.371428571428573,5.463958649060699,10.877252172393751,8.920305367478907
Marigat (Baringo),Maize (white),prophet,7,2.0,4.67625344018091,3.589949654352328,8.276902709330294
Marsabit,Maize (white),prophet,17,1.7999999999999996,3.8520367965524236,2.5238319619241714,5.406753415757813
Mogadishu (Kakuma),Beans (dry),prophet,4,27.502499999999994,23.663584027733762,72.5238589040727,60.818739714993164
Mogadishu (Kakuma),Maize flour,prophet,5,4.1659999999999995,4.98519559067408,33.406330831835376,39.52743996945103
Mogadishu (Kakuma),Rice,prophet,5,24.889999999999997,17.97813789378825,53.07057327248865,40.259436028048945
Mogadishu (Kakuma),Salt,prophet,5,12.08,18.159999999999997,18.183617794735103,25.27395579507546
Mogadishu (Kakuma),Sugar,prophet,5,6.610000000000002,4.214606405961639,58.90427648711875,36.93280870943095
Nairobi,Bread,prophet,18,1.3888888888888888,1.2630177746456817,6.307031867453186,5.7006710370333336
