market,commodity,model_track,weight,val_rows,val_mae,val_naive_mae,test_mae,test_mape,naive_test_mae,naive_test_mape,blended_test_mae,blended_test_mape,beats_naive
Ethiopia (Kakuma),Beans (dry),prophet,0.19327038959518103,4,16.07569888131656,26.204999999999995,16.409757154286133,12.175746216440771,12.962,9.495281108916185,8.3804258131802,6.235232739982221,True
Ethiopia (Kakuma),Maize,prophet,0.2867950016550726,4,5.448453732704619,12.7775,18.923196160357833,31.304288526498848,4.556,7.425084054229811,5.030536095049305,8.514295148926191,False
Ethiopia (Kakuma),Maize flour,prophet,0.0,4,12.499596920006589,8.195,13.327777126913762,15.60744032224299,2.2439999999999998,2.574305597123483,2.2439999999999998,2.574305597123483,True
Ethiopia (Kakuma),Rice,prophet,0.0,4,41.13291856277281,16.130000000000006,50.556298845886985,46.36039585943234,13.303999999999998,12.461098901098902,13.303999999999998,12.461098901098902,True
Ethiopia (Kakuma),Salt,prophet,0.005899950559004752,4,17.145271715602536,17.35,21.766446474283043,30.398565823991724,9.0,12.346652047627291,8.920454396720563,12.23042392194432,True
Ethiopia (Kakuma),Sugar,prophet,0.0,4,25.027353231698044,6.417499999999997,34.61185925316077,21.280328962645275,9.466000000000003,5.867874154368682,9.466000000000003,5.867874154368682,True
Ethiopia (Kakuma),Wheat flour,prophet,0.0,4,9.957922497218238,6.920000000000002,19.095260948296545,20.75166102189149,3.066,3.305591494000854,3.066,3.305591494000854,True
Garissa,Maize (white),prophet,0.0,4,2.939002800095029,0.5,2.9951610095180996,4.295185565121414,0.4,0.5714285714285714,0.4,0.5714285714285714,True
Hagadera (Daadab),Beans (dry),prophet,0.09412397499974459,5,4.534105954322181,5.337999999999999,10.016077045793589,8.297717168119672,1.534999999999999,1.2763910400665957,1.938142637441236,1.6057385267869464,False
Hagadera (Daadab),Maize,prophet,0.0,5,8.390388246057967,7.391999999999999,4.394712761964118,7.327473836771392,0.22400000000000092,0.3750919694930477,0.22400000000000092,0.3750919694930477,True
Hagadera (Daadab),Maize flour,prophet,0.06495179848192763,5,1.8996834995493004,2.1199999999999988,5.06233123975731,5.142467403677293,3.020000000000001,3.099392757967273,2.9544578285067877,3.0243818111723857,True
Hagadera (Daadab),Meat (camel),prophet,0.0,5,66.82953005844533,0.0,55.74055075376541,9.290091792294234,0.0,0.0,0.0,0.0,True
Hagadera (Daadab),Meat (goat),prophet,0.0,5,85.12597162020722,8.663999999999987,133.36165193794722,16.670206492243402,1.2960000000000036,0.16200000000000045,1.2960000000000036,0.16200000000000045,True
Hagadera (Daadab),Potatoes (Irish),prophet,0.0,5,10.59049235759038,4.6659999999999995,9.211256711230144,12.664286702713248,6.738333333333332,9.156225925296969,6.738333333333332,9.156225925296969,True
Hagadera (Daadab),Rice,prophet,0.0,5,8.859876394839237,4.207999999999998,13.630888182609942,13.426640697761941,2.9750000000000014,2.817350628482357,2.9750000000000014,2.817350628482357,True
Hagadera (Daadab),Salt,prophet,0.0,5,8.280290163351792,4.109999999999999,9.734128937253386,16.356689144110042,8.891666666666666,16.067620682771754,8.891666666666666,16.067620682771754,True
Hagadera (Daadab),Sugar,prophet,0.0,5,11.561251327187776,3.1160000000000023,12.346271972261865,10.263274866826002,2.8900000000000006,2.3923950220362995,2.8900000000000006,2.3923950220362995,True
Hagadera (Daadab),Wheat flour,prophet,0.0,5,2.7852934635506585,1.6059999999999974,2.569592257649217,2.5993214592938254,1.2383333333333322,1.2532855219406023,1.2383333333333322,1.2532855219406023,True
HongKong (Kakuma),Beans (dry),prophet,0.0,4,85.15159890452,32.43,83.6894722144524,56.56156951530136,3.389999999999998,2.3109045866783076,3.389999999999998,2.3109045866783076,True
HongKong (Kakuma),Maize,prophet,0.0,4,45.18500211169092,13.75,21.311351972193712,34.73088556199964,5.3340000000000005,8.313809523809525,5.3340000000000005,8.313809523809525,True
HongKong (Kakuma),Maize flour,prophet,0.0,4,19.1131697623854,3.495000000000001,19.93490043749555,23.70573733100853,3.872,4.456562603926998,3.872,4.456562603926998,True
HongKong (Kakuma),Rice,prophet,0.23541569898436243,4,16.340726430725777,30.880000000000003,26.375431857884998,17.64622800399822,10.297999999999991,6.966022427962089,13.094157238733231,8.790487967512298,False
HongKong (Kakuma),Salt,prophet,0.0,5,23.237126655778717,14.940000000000003,14.281195756765152,20.378884242405224,10.510000000000005,14.413359703562262,10.510000000000005,14.413359703562262,True
HongKong (Kakuma),Sugar,prophet,0.0,5,21.9085660792098,7.8,42.52552831513626,26.12669184165815,2.067999999999995,1.268551003735167,2.067999999999995,1.268551003735167,True
HongKong (Kakuma),Wheat flour,prophet,0.0,5,12.865831547355546,5.331999999999999,20.82343717576374,23.05752577826288,1.0,1.0960960960960962,1.0,1.0960960960960962,True
IFO (Daadab),Beans (dry),prophet,0.0,5,11.754760069582584,3.8759999999999963,15.148422613052569,12.4532895470363,2.1666666666666665,1.7738107576527489,2.1666666666666665,1.7738107576527489,True
IFO (Daadab),Maize,prophet,0.0,5,5.896005627839384,4.130000000000001,4.79879877206561,7.148394156490863,3.013333333333333,4.582370745187929,3.013333333333333,4.582370745187929,True
IFO (Daadab),Maize flour,prophet,0.0,5,7.452527639053116,1.1939999999999968,8.19070294271907,8.07766528560766,1.7759999999999991,1.7477014585631026,1.7759999999999991,1.7477014585631026,True
IFO (Daadab),Meat (camel),prophet,0.0,5,63.466504638303924,46.624,52.54939447188557,8.27076592439699,59.1,9.16251199040075,59.1,9.16251199040075,True
IFO (Daadab),Meat (goat),prophet,0.0,5,75.78086847445255,22.675999999999977,41.94374923923344,5.150418302133907,9.211999999999989,1.1302316021533962,9.211999999999989,1.1302316021533962,True
IFO (Daadab),Potatoes (Irish),prophet,0.0,5,32.01027335048227,3.5179999999999993,23.39860354071782,32.4058474257141,12.675000000000002,17.688309816623384,12.675000000000002,17.688309816623384,True
IFO (Daadab),Rice,prophet,0.0,5,11.925412991988598,3.0899999999999976,7.092394817689552,5.934251787546022,5.921666666666667,5.018147830946285,5.921666666666667,5.018147830946285,True
IFO (Daadab),Salt,prophet,0.0,5,8.791218382332932,8.440000000000003,39.446880622564656,47.112839688948924,7.883333333333333,9.505018968368741,7.883333333333333,9.505018968368741,True
IFO (Daadab),Sugar,prophet,0.0,5,15.371417297845444,4.023999999999998,12.867009255976848,10.70086527422181,0.9750000000000014,0.8025832267899815,0.9750000000000014,0.8025832267899815,True
IFO (Daadab),Wheat flour,prophet,0.0,5,4.180216319924478,1.0640000000000043,8.503632365135024,8.350263651042585,2.1499999999999986,2.076583841238848,2.1499999999999986,2.076583841238848,True
Kajiado,Beans (dry),prophet,0.0,7,19.253535813203687,8.942857142857141,11.181412386718748,10.810283047986735,2.4285714285714284,2.385221751397814,2.4285714285714284,2.385221751397814,True
Kajiado,Maize (white),prophet,0.0,7,7.033284092179818,4.485714285714286,8.829729010707846,16.59086704622632,2.142857142857143,4.063619120222894,2.142857142857143,4.063619120222894,True
Kakuma 2,Beans (dry),prophet,0.0,5,45.87705256210137,16.68,46.24099117596103,38.39275357582162,9.586000000000002,8.016131611187014,9.586000000000002,8.016131611187014,True
Kakuma 2,Maize,prophet,0.0,5,11.032486053065126,11.018,14.54350854153011,26.03619082720089,4.520000000000001,8.0494938621594,4.520000000000001,8.0494938621594,True
Kakuma 2,Maize flour,prophet,0.0,5,13.558198104127593,1.3879999999999995,20.007145707874816,23.295621065085264,11.39,12.721521333334914,11.39,12.721521333334914,True
Kakuma 2,Potatoes (Irish),prophet,0.0,4,21.507149828334352,6.335000000000001,24.14742094163747,28.917548176941764,4.9319999999999995,5.640964533604381,4.9319999999999995,5.640964533604381,True
Kakuma 2,Rice,prophet,0.0,5,59.19511116008997,22.592000000000002,45.615709640734075,40.53696019817733,29.927999999999997,22.537153202247538,29.927999999999997,22.537153202247538,True
Kakuma 2,Salt,prophet,0.0,4,11.17347831711019,7.262500000000001,22.65253748791336,31.476381808279196,6.8100000000000005,9.545380191201646,6.8100000000000005,9.545380191201646,True
Kakuma 2,Sugar,prophet,0.0,4,23.502165067644277,8.332500000000003,83.86316096194761,50.66174704122187,5.75,3.518843361477083,5.75,3.518843361477083,True
Kakuma 2,Wheat flour,prophet,0.0,5,5.634859747176785,2.4,20.750773337110846,23.03578232723,3.8659999999999997,4.430632808726042,3.8659999999999997,4.430632808726042,True
Kakuma 3,Beans (dry),prophet,0.21827754882777536,5,16.268898046888985,25.0,9.0212809342474,7.31815866172183,5.426666666666667,4.179481350478734,5.892246696560932,4.629318755583482,False
Kakuma 3,Maize,prophet,0.0,5,10.255530810805201,8.336000000000002,8.25148866357161,13.703775613299083,5.1933333333333325,7.530319479183277,5.1933333333333325,7.530319479183277,True
Kakuma 3,Maize flour,prophet,0.0,5,17.14940021290472,2.2,32.63068756388782,37.82811590039506,4.123333333333335,4.768599971257622,4.123333333333335,4.768599971257622,True
Kakuma 3,Meat (beef),prophet,0.0,3,104.9009332374197,30.556666666666654,136.45439853927496,25.277655914447035,37.5,7.2727272727272725,37.5,7.2727272727272725,True
Kakuma 3,Meat (goat),prophet,0.0,4,151.09570056443562,37.5,88.6075057700316,12.45073360784262,65.556,9.449205552203026,65.556,9.449205552203026,True
Kakuma 3,Potatoes (Irish),prophet,0.0,5,21.199167737222254,8.916,13.073646897760378,16.016680337344162,2.0,2.40944750754471,2.0,2.40944750754471,True
Kakuma 3,Rice,prophet,0.0,5,38.649173314104495,29.333999999999996,29.389924491112662,19.98974571404819,11.695000000000007,7.492622637524414,11.695000000000007,7.492622637524414,True
Kakuma 3,Salt,prophet,0.2312591807206107,5,55.419807795212606,87.97,22.328383774379276,28.126828559182133,12.808333333333332,17.36831499541552,14.089649679278052,18.383867676791034,False
Kakuma 3,Sugar,prophet,0.0,5,16.514573460579594,6.8180000000000005,23.718797057357552,15.023662453317632,2.8383333333333334,1.8600532569282573,2.8383333333333334,1.8600532569282573,True
Kakuma 3,Wheat flour,prophet,0.0,5,8.738031774124186,5.556,17.448365792443422,19.276357314074502,2.2216666666666662,2.4398244892914955,2.2216666666666662,2.4398244892914955,True
Kakuma 4,Beans (dry),prophet,0.0,5,62.89330040251359,17.666000000000004,88.6344834271453,74.15945924474018,6.0,5.011664549507459,6.0,5.011664549507459,True
Kakuma 4,Maize,prophet,0.01902495285555622,5,8.202478238147188,8.459999999999997,15.167389506274494,25.20139514941172,4.298,7.268489053227207,4.469335530431666,7.555116988587335,False
Kakuma 4,Maize flour,prophet,0.0,5,11.307175717509034,5.613999999999999,21.287793589048544,26.499236310534446,1.7860000000000014,2.2200755401939065,1.7860000000000014,2.2200755401939065,True
Kakuma 4,Potatoes (Irish),prophet,0.0,4,20.199237664846294,10.0,12.194533564387914,12.596237365123725,12.356,13.232665823556067,12.356,13.232665823556067,True
Kakuma 4,Rice,prophet,0.0,5,18.97403020232812,12.668000000000001,40.9090234019875,35.30094068923733,10.831999999999999,8.783549768131978,10.831999999999999,8.783549768131978,True
Kakuma 4,Salt,prophet,0.2617357123758662,5,12.240553435782813,21.06,15.75005491720727,19.72310592229031,5.366666666666667,6.367003367003367,4.5227561835250585,5.3376701629756464,True
Kakuma 4,Sugar,prophet,0.0,4,17.949047856596373,9.489999999999995,1414.4960185380514,875.8892274783811,3.219999999999999,1.9921147286258336,3.219999999999999,1.9921147286258336,True
Kakuma 4,Wheat flour,prophet,0.0,5,12.371087897604102,5.578,24.108848795851184,26.878136111011603,2.315,2.595274264390212,2.315,2.595274264390212,True
